category,date,delay,duration,equipment,id,items,service,staff
electrician,2022-10-30,5,75,light,1,3,Repair,1
electrician,2022-10-30,0,105,switch,2,4,Install,1
electrician,2022-10-21,5,60,light,3,2,Install,1
electrician,2022-10-02,0,45,light,4,1,Repair,1
electrician,2022-10-13,0,120,socket,5,5,Install,1
electrician,2022-10-21,10,105,socket,6,5,Repair,1
electrician,2022-10-10,0,105,switch,7,4,Repair,1
electrician,2022-10-16,10,75,switch,8,3,Repair,1
electrician,2022-10-06,10,75,switch,9,3,Install,1
electrician,2022-10-06,0,75,light,10,2,Repair,1
electrician,2022-10-20,0,75,switch,11,3,Repair,1
electrician,2022-10-26,10,45,switch,12,1,Install,1
electrician,2022-10-21,20,90,socket,13,3,Install,1
electrician,2022-10-19,0,90,light,14,5,Repair,1
electrician,2022-10-12,20,120,switch,15,5,Install,1
electrician,2022-10-29,5,120,light,16,5,Repair,1
electrician,2022-10-25,5,45,switch,17,1,Install,1
electrician,2022-10-14,0,45,switch,18,2,Repair,1
electrician,2022-10-05,0,60,socket,19,1,Repair,1
electrician,2022-10-26,0,120,switch,20,5,Install,1
electrician,2022-10-20,0,105,switch,21,5,Repair,1
electrician,2022-10-03,0,105,light,22,4,Repair,1
electrician,2022-10-08,0,60,switch,23,2,Repair,1
electrician,2022-10-08,5,45,light,24,1,Install,1
electrician,2022-10-29,0,75,switch,25,3,Repair,1
electrician,2022-10-21,20,75,socket,26,2,Install,1
electrician,2022-10-22,0,120,light,27,5,Install,1
electrician,2022-10-26,0,45,socket,28,1,Repair,1
electrician,2022-10-25,15,90,switch,29,4,Repair,1
electrician,2022-10-26,0,120,switch,30,5,Repair,1
electrician,2022-10-25,0,90,light,31,4,Install,1
electrician,2022-10-10,5,90,switch,32,4,Install,1
electrician,2022-10-09,5,75,light,33,3,Repair,1
electrician,2022-10-12,5,75,socket,34,3,Repair,1
electrician,2022-10-21,0,75,switch,35,3,Install,1
electrician,2022-10-09,5,45,light,36,1,Repair,1
electrician,2022-10-16,15,45,socket,37,2,Repair,1
electrician,2022-10-06,15,75,switch,38,3,Repair,1
electrician,2022-10-13,20,45,switch,39,1,Repair,1
electrician,2022-10-19,5,45,light,40,2,Install,1
electrician,2022-10-08,5,75,switch,41,3,Install,1
electrician,2022-10-20,0,45,light,42,2,Repair,1
electrician,2022-10-03,10,75,socket,43,2,Repair,1
electrician,2022-10-04,0,45,socket,44,1,Install,1
electrician,2022-10-25,5,45,switch,45,1,Install,1
electrician,2022-10-11,10,75,light,46,3,Repair,1
electrician,2022-10-22,0,105,light,47,5,Repair,1
electrician,2022-10-05,20,60,light,48,2,Repair,1
electrician,2022-10-12,10,45,switch,49,1,Repair,1
electrician,2022-10-12,5,90,switch,50,5,Install,1
electrician,2022-10-26,15,105,switch,51,5,Repair,1
electrician,2022-10-08,0,120,switch,52,5,Repair,1
electrician,2022-10-22,0,45,circuit-breaker,53,2,Repair,1
electrician,2022-10-31,0,75,switch,54,3,Repair,1
electrician,2022-10-15,10,45,light,55,1,Repair,1
electrician,2022-10-15,10,60,light,56,2,Repair,1
electrician,2022-10-11,20,105,switch,57,4,Repair,1
electrician,2022-10-09,5,90,switch,58,4,Install,1
electrician,2022-10-07,5,90,socket,59,4,Install,1
electrician,2022-10-28,20,45,light,60,1,Repair,1
electrician,2022-10-19,0,105,switch,61,4,Install,1
electrician,2022-10-05,5,75,switch,62,3,Repair,1
electrician,2022-10-22,20,120,light,63,5,Install,1
electrician,2022-10-31,0,45,switch,64,1,Install,1
electrician,2022-10-04,0,120,socket,65,5,Repair,1
electrician,2022-10-27,0,120,socket,66,5,Install,1
electrician,2022-10-07,0,90,light,67,4,Install,1
electrician,2022-10-24,10,45,light,68,1,Repair,1
electrician,2022-10-05,0,60,light,69,2,Repair,1
electrician,2022-10-19,0,45,light,70,1,Repair,1
electrician,2022-10-03,0,105,socket,71,4,Install,1
electrician,2022-10-18,10,105,switch,72,5,Install,1
electrician,2022-10-18,5,105,light,73,5,Install,1
electrician,2022-10-20,0,60,socket,74,2,Repair,1
electrician,2022-10-28,15,45,light,75,1,Install,1
electrician,2022-10-22,0,120,switch,76,5,Install,1
electrician,2022-10-31,0,90,light,77,3,Install,1
electrician,2022-10-11,0,90,socket,78,3,Repair,1
electrician,2022-10-01,5,120,light,79,5,Install,1
electrician,2022-10-03,15,60,socket,80,2,Repair,1
electrician,2022-10-23,0,45,switch,81,1,Install,1
electrician,2022-10-20,5,105,light,82,4,Install,1
electrician,2022-10-29,0,90,switch,83,4,Install,1
electrician,2022-10-28,5,120,light,84,5,Install,1
electrician,2022-10-14,0,75,socket,85,3,Repair,1
electrician,2022-10-28,15,75,socket,86,3,Repair,1
electrician,2022-10-20,0,105,light,87,5,Install,1
electrician,2022-10-22,0,45,socket,88,1,Repair,1
electrician,2022-10-06,0,90,light,89,4,Install,1
electrician,2022-10-15,5,75,socket,90,3,Repair,1
electrician,2022-10-10,0,45,light,91,1,Repair,1
electrician,2022-10-21,0,75,socket,92,2,Repair,1
electrician,2022-10-04,0,75,light,93,3,Repair,1
electrician,2022-10-09,0,105,light,94,5,Install,1
electrician,2022-10-10,0,45,light,95,1,Repair,1
electrician,2022-11-23,0,105,switch,96,4,Repair,1
electrician,2022-11-22,0,60,switch,97,2,Repair,1
electrician,2022-11-01,0,90,light,98,4,Install,1
electrician,2022-11-03,0,75,switch,99,3,Install,1
electrician,2022-11-26,15,75,switch,100,3,Install,1
electrician,2022-11-20,0,60,socket,101,2,Repair,1
electrician,2022-11-07,0,75,light,102,2,Repair,1
electrician,2022-11-28,15,120,light,103,4,Repair,1
electrician,2022-11-05,0,105,switch,104,5,Install,1
