Id,Date,Payment Method,Payment Duration
1,2022-10-26,Cash,0
2,2022-10-15,PayNow,3
3,2022-10-28,PayNow,3
4,2022-10-19,Bank Transfer,3
5,2022-10-22,Cash,0
6,2022-10-12,Cash,0
7,2022-10-05,Bank Transfer,5
8,2022-10-03,Bank Transfer,5
9,2022-10-27,PayNow,3
10,2022-10-05,Cash,0
11,2022-10-12,PayNow,3
12,2022-10-29,Cash,0
13,2022-10-14,PayNow,3
14,2022-10-30,Bank Transfer,3
15,2022-10-19,Cash,0
16,2022-10-24,PayNow,5
17,2022-10-28,Cash,0
18,2022-10-12,Cash,0
19,2022-10-05,PayNow,5
20,2022-10-06,PayNow,3
21,2022-10-30,Cash,0
22,2022-10-09,PayNow,3
23,2022-10-14,Cash,0
24,2022-10-31,Bank Transfer,5
25,2022-10-20,PayNow,5
26,2022-10-07,Cash,0
27,2022-10-04,PayNow,3
28,2022-10-13,PayNow,3
29,2022-10-08,PayNow,3
30,2022-10-11,Cash,0
31,2022-10-24,PayNow,3
32,2022-10-13,Cash,0
33,2022-10-16,Cash,0
34,2022-10-05,PayNow,3
35,2022-10-16,Cash,0
36,2022-10-10,Cash,0
37,2022-10-31,PayNow,5
38,2022-10-27,PayNow,3
39,2022-10-03,PayNow,3
40,2022-10-17,Bank Transfer,3
41,2022-10-15,Cash,0
42,2022-10-26,Cash,0
43,2022-10-17,Bank Transfer,5
44,2022-10-29,PayNow,7
45,2022-10-13,PayNow,3
46,2022-10-04,Cash,0
47,2022-10-01,PayNow,7
48,2022-10-22,PayNow,3
49,2022-10-27,Bank Transfer,3
50,2022-10-23,Bank Transfer,5
51,2022-10-06,PayNow,5
52,2022-10-24,PayNow,3
53,2022-10-27,Bank Transfer,3
54,2022-10-11,PayNow,3
55,2022-10-16,PayNow,5
56,2022-10-22,PayNow,3
57,2022-10-14,PayNow,3
58,2022-10-12,PayNow,7
59,2022-10-17,Cash,0
60,2022-10-03,Cash,0
61,2022-10-07,Cash,0
62,2022-10-09,PayNow,3
63,2022-10-09,PayNow,3
64,2022-10-05,PayNow,5
65,2022-10-28,PayNow,3
66,2022-10-22,Bank Transfer,7
67,2022-10-17,Cash,0
68,2022-10-14,Cash,0
69,2022-10-20,Cash,0
70,2022-10-26,PayNow,3
71,2022-10-30,Cash,0
72,2022-10-30,PayNow,5
73,2022-10-21,Bank Transfer,5
74,2022-10-05,Cash,0
75,2022-10-11,Cash,0
76,2022-10-21,Cash,0
77,2022-10-29,PayNow,3
78,2022-10-19,Cash,0
79,2022-10-08,PayNow,5
80,2022-10-27,PayNow,5
81,2022-10-11,PayNow,3
82,2022-10-02,Cash,0
83,2022-10-16,Cash,0
84,2022-10-26,Cash,0
85,2022-10-03,Bank Transfer,3
86,2022-10-30,Bank Transfer,5
87,2022-10-05,Bank Transfer,7
88,2022-10-04,Cash,0
89,2022-10-03,PayNow,3
90,2022-10-08,PayNow,3
91,2022-10-25,PayNow,5
92,2022-10-28,PayNow,3
93,2022-10-19,PayNow,5
94,2022-10-21,Cash,0
95,2022-10-06,PayNow,5
96,2022-10-29,PayNow,3
97,2022-10-03,Cash,0
98,2022-10-08,Cash,0
99,2022-10-03,Cash,0
100,2022-10-25,PayNow,3
101,2022-10-21,Bank Transfer,5
102,2022-10-24,Cash,0
103,2022-10-08,Cash,0
104,2022-10-27,PayNow,3
105,2022-10-10,PayNow,3
106,2022-10-13,Cash,0
107,2022-10-27,Cash,0
108,2022-10-21,Bank Transfer,5
109,2022-10-26,PayNow,3
110,2022-10-17,Cash,0
111,2022-10-28,PayNow,3
112,2022-10-26,Cash,0
113,2022-10-31,Cash,0
114,2022-10-05,PayNow,5
115,2022-10-17,PayNow,5
116,2022-10-27,Cash,0
117,2022-10-08,Cash,0
118,2022-10-28,Cash,0
119,2022-10-20,Bank Transfer,5
120,2022-10-24,PayNow,7
121,2022-10-13,PayNow,7
122,2022-10-30,Bank Transfer,3
123,2022-10-22,PayNow,3
124,2022-10-06,PayNow,3
125,2022-10-16,PayNow,3
126,2022-10-05,PayNow,5
127,2022-10-24,PayNow,7
128,2022-10-09,Bank Transfer,7
129,2022-10-27,Bank Transfer,5
130,2022-10-07,Cash,0
131,2022-10-16,Cash,0
132,2022-10-27,Bank Transfer,3
133,2022-10-19,PayNow,3
134,2022-10-28,PayNow,5
135,2022-10-19,Cash,0
136,2022-10-27,Cash,0
137,2022-10-24,Bank Transfer,7
138,2022-10-03,Cash,0
139,2022-10-25,PayNow,5
140,2022-10-09,Cash,0
141,2022-10-15,PayNow,10
142,2022-10-23,Cash,0
143,2022-10-11,Cash,0
144,2022-10-26,PayNow,3
145,2022-10-27,PayNow,3
146,2022-10-22,PayNow,5
147,2022-10-18,PayNow,3
148,2022-10-04,Bank Transfer,5
149,2022-10-30,Cash,0
150,2022-10-14,Cash,0
151,2022-10-29,Bank Transfer,3
152,2022-10-27,Cash,0
153,2022-10-27,Cash,0
154,2022-10-15,Cash,0
155,2022-10-29,Cash,0
156,2022-10-04,Bank Transfer,5
157,2022-10-08,PayNow,5
158,2022-10-28,Cash,0
159,2022-10-23,Cash,0
160,2022-10-18,PayNow,3
161,2022-10-28,Cash,0
162,2022-10-15,PayNow,3
163,2022-10-17,PayNow,7
164,2022-10-16,Cash,0
165,2022-10-01,Cash,0
166,2022-10-15,PayNow,7
167,2022-10-26,Bank Transfer,3
168,2022-10-09,PayNow,7
169,2022-10-02,Cash,0
170,2022-10-06,Cash,0
171,2022-10-17,Cash,0
172,2022-10-31,PayNow,3
173,2022-10-11,Cash,0
174,2022-10-03,Bank Transfer,5
175,2022-10-14,PayNow,3
176,2022-10-26,Cash,0
177,2022-10-27,Cash,0
178,2022-10-02,PayNow,3
179,2022-10-16,PayNow,3
180,2022-10-18,PayNow,3
181,2022-10-10,Cash,0
182,2022-10-31,Cash,0
183,2022-10-28,PayNow,3
184,2022-10-26,PayNow,3
185,2022-10-05,Cash,0
186,2022-10-15,PayNow,7
187,2022-10-11,Cash,0
188,2022-10-03,Bank Transfer,5
189,2022-10-10,Cash,0
190,2022-10-05,Cash,0
191,2022-10-12,PayNow,5
192,2022-10-06,Bank Transfer,5
193,2022-10-09,PayNow,3
194,2022-10-05,Cash,0
195,2022-10-14,Bank Transfer,3
196,2022-10-14,Cash,0
197,2022-10-06,PayNow,5
198,2022-10-28,PayNow,3
199,2022-10-19,Bank Transfer,7
200,2022-10-10,Cash,0
201,2022-10-24,PayNow,5
202,2022-10-27,PayNow,3
203,2022-10-08,PayNow,3
204,2022-10-06,Cash,0
205,2022-10-11,PayNow,3
206,2022-10-27,PayNow,5
207,2022-10-14,Cash,0
208,2022-10-30,PayNow,3
209,2022-10-05,Bank Transfer,3
210,2022-10-27,Cash,0
211,2022-10-14,Bank Transfer,3
212,2022-10-03,PayNow,7
213,2022-10-26,Cash,0
214,2022-10-28,PayNow,3
215,2022-10-11,PayNow,5
216,2022-10-25,Cash,0
217,2022-10-19,Cash,0
218,2022-10-26,Bank Transfer,5
219,2022-10-02,PayNow,3
220,2022-10-09,Cash,0
221,2022-10-08,Cash,0
222,2022-10-08,PayNow,5
223,2022-10-11,PayNow,5
224,2022-10-18,Bank Transfer,3
225,2022-10-09,PayNow,5
226,2022-10-19,PayNow,5
227,2022-10-13,PayNow,3
228,2022-10-08,PayNow,3
229,2022-10-27,PayNow,7
230,2022-10-19,PayNow,5
231,2022-10-02,Bank Transfer,5
232,2022-10-12,Cash,0
233,2022-10-31,PayNow,5
234,2022-10-05,Bank Transfer,3
235,2022-10-17,PayNow,5
236,2022-10-28,PayNow,3
237,2022-10-07,PayNow,5
238,2022-10-17,Cash,0
239,2022-10-02,PayNow,5
240,2022-10-08,PayNow,5
241,2022-10-23,PayNow,3
242,2022-10-16,Cash,0
243,2022-10-26,Cash,0
244,2022-10-07,Bank Transfer,3
245,2022-10-02,PayNow,5
246,2022-10-04,PayNow,7
247,2022-10-20,Bank Transfer,5
248,2022-10-07,PayNow,5
249,2022-10-19,PayNow,5
250,2022-10-11,PayNow,3
251,2022-10-11,Cash,0
252,2022-10-06,Cash,0
253,2022-10-16,Bank Transfer,3
254,2022-10-21,PayNow,5
255,2022-10-08,Cash,0
256,2022-10-28,Cash,0
257,2022-10-25,PayNow,3
258,2022-10-26,Bank Transfer,7
259,2022-10-06,Cash,0
260,2022-10-30,Cash,0
261,2022-10-21,PayNow,5
262,2022-10-26,Cash,0
263,2022-10-23,Bank Transfer,7
264,2022-10-26,PayNow,3
265,2022-10-11,Bank Transfer,3
266,2022-10-18,PayNow,7
267,2022-10-02,PayNow,3
268,2022-10-26,PayNow,7
269,2022-10-09,PayNow,7
270,2022-10-17,PayNow,3
271,2022-10-15,PayNow,3
272,2022-10-29,PayNow,3
273,2022-10-25,PayNow,3
274,2022-10-11,PayNow,3
275,2022-10-15,Cash,0
276,2022-10-10,PayNow,5
277,2022-10-09,PayNow,5
278,2022-10-02,Cash,0
279,2022-10-25,Cash,0
280,2022-10-31,PayNow,7
281,2022-10-28,Cash,0
282,2022-10-31,Cash,0
283,2022-10-06,Cash,0
284,2022-10-29,Cash,0
285,2022-10-14,Cash,0
286,2022-10-09,Bank Transfer,3
287,2022-10-31,Cash,0
288,2022-10-15,Cash,0
289,2022-10-09,PayNow,7
290,2022-10-20,Bank Transfer,3
291,2022-10-30,PayNow,7
292,2022-10-15,PayNow,5
293,2022-10-13,Cash,0
294,2022-10-20,Bank Transfer,3
295,2022-10-17,Cash,0
296,2022-10-01,Cash,0
297,2022-10-18,PayNow,3
298,2022-10-18,Cash,0
299,2022-10-01,Cash,0
300,2022-10-14,Cash,0
301,2022-10-07,Bank Transfer,3
302,2022-10-02,Cash,0
303,2022-10-30,Bank Transfer,7
304,2022-10-08,PayNow,3
305,2022-10-14,Cash,0
306,2022-10-07,PayNow,5
307,2022-10-07,Bank Transfer,3
308,2022-10-12,Cash,0
309,2022-10-12,PayNow,5
310,2022-10-13,PayNow,3
311,2022-10-16,Cash,0
312,2022-10-05,PayNow,3
313,2022-10-27,Cash,0
314,2022-10-19,PayNow,7
315,2022-10-01,PayNow,5
316,2022-10-16,Cash,0
317,2022-10-19,Cash,0
318,2022-10-29,PayNow,3
319,2022-10-20,Bank Transfer,3
320,2022-10-05,Cash,0
321,2022-10-12,PayNow,7
322,2022-10-16,Bank Transfer,5
323,2022-10-04,PayNow,3
324,2022-10-29,Cash,0
325,2022-10-20,PayNow,3
326,2022-10-07,Bank Transfer,5
327,2022-11-02,PayNow,3
328,2022-11-27,Cash,0
329,2022-11-29,Bank Transfer,5
330,2022-11-10,Cash,0
331,2022-11-29,PayNow,5
332,2022-11-11,Bank Transfer,7
333,2022-11-15,PayNow,5
334,2022-11-27,PayNow,5
335,2022-11-02,PayNow,5
336,2022-11-25,PayNow,3
337,2022-11-24,PayNow,5
338,2022-11-05,PayNow,3
339,2022-11-27,Cash,0
340,2022-11-24,Bank Transfer,7
