id,date,category,duration,delay
1,2022-10-27,electrician,90,10
2,2022-10-06,electrician,120,10
3,2022-10-18,electrician,105,30
4,2022-10-18,electrician,60,30
5,2022-10-29,electrician,120,0
6,2022-10-24,electrician,75,30
7,2022-10-31,electrician,105,30
8,2022-10-18,electrician,60,10
9,2022-10-29,electrician,60,0
10,2022-10-09,electrician,75,30
11,2022-10-14,electrician,75,0
12,2022-10-20,electrician,120,0
13,2022-10-28,electrician,75,20
14,2022-10-21,electrician,90,0
15,2022-10-13,electrician,90,10
16,2022-10-22,electrician,105,10
17,2022-10-02,electrician,60,10
18,2022-10-11,electrician,75,20
19,2022-10-29,electrician,120,0
20,2022-10-10,electrician,105,20
21,2022-10-09,electrician,120,10
22,2022-10-28,electrician,75,0
23,2022-10-11,electrician,90,30
24,2022-10-29,electrician,75,30
25,2022-10-26,electrician,75,20
26,2022-10-24,electrician,60,0
27,2022-10-17,electrician,60,0
28,2022-10-29,electrician,75,0
29,2022-10-15,electrician,60,0
30,2022-10-04,electrician,120,0
31,2022-10-25,electrician,105,30
32,2022-10-20,electrician,60,10
33,2022-10-06,electrician,75,0
34,2022-10-05,electrician,105,30
35,2022-10-02,electrician,120,30
36,2022-10-28,electrician,120,0
37,2022-10-10,electrician,105,30
38,2022-10-06,electrician,90,20
39,2022-10-30,electrician,120,30
40,2022-10-07,electrician,75,0
41,2022-10-16,electrician,105,0
42,2022-10-29,electrician,90,0
43,2022-10-08,electrician,120,30
44,2022-10-31,electrician,90,10
45,2022-10-13,electrician,75,10
46,2022-10-07,electrician,75,30
47,2022-10-18,electrician,90,30
48,2022-10-26,electrician,120,30
49,2022-10-31,electrician,75,10
50,2022-10-30,electrician,105,0
51,2022-10-01,electrician,60,10
52,2022-10-11,electrician,60,20
53,2022-10-29,electrician,90,10
54,2022-10-30,electrician,75,0
55,2022-10-16,electrician,75,0
56,2022-10-02,electrician,60,20
57,2022-10-05,electrician,90,0
58,2022-10-04,electrician,105,10
59,2022-10-01,electrician,75,30
60,2022-10-20,electrician,75,0
61,2022-10-19,electrician,90,30
62,2022-10-28,electrician,120,10
63,2022-10-23,electrician,60,10
64,2022-10-29,electrician,120,30
65,2022-10-28,electrician,120,0
66,2022-10-20,electrician,75,20
67,2022-10-13,electrician,90,10
68,2022-10-12,electrician,60,10
69,2022-10-19,electrician,105,0
70,2022-10-31,electrician,90,30
71,2022-10-23,electrician,105,30
72,2022-10-24,electrician,105,30
73,2022-10-28,electrician,60,20
74,2022-10-12,electrician,105,20
75,2022-10-16,electrician,75,0
76,2022-10-19,electrician,90,30
77,2022-10-06,electrician,120,20
78,2022-10-22,electrician,105,0
79,2022-10-07,electrician,105,10
80,2022-10-09,electrician,75,10
81,2022-10-20,electrician,105,0
82,2022-10-29,electrician,105,0
83,2022-10-29,electrician,120,30
84,2022-10-14,electrician,120,10
85,2022-10-26,electrician,120,20
86,2022-10-22,electrician,90,30
87,2022-10-31,electrician,105,20
88,2022-10-17,electrician,90,0
89,2022-10-14,electrician,75,10
90,2022-10-05,electrician,75,30
91,2022-10-29,electrician,60,20
92,2022-10-03,electrician,105,30
93,2022-10-21,electrician,120,30
94,2022-10-23,electrician,105,0
95,2022-10-14,electrician,120,0
96,2022-11-04,electrician,60,30
97,2022-11-11,electrician,60,0
98,2022-11-29,electrician,105,10
99,2022-11-20,electrician,90,30
100,2022-11-03,electrician,120,0
101,2022-11-06,electrician,75,30
102,2022-11-04,electrician,105,0
103,2022-11-11,electrician,90,30
104,2022-11-19,electrician,105,10
105,2022-11-19,electrician,90,0
106,2022-11-12,electrician,60,20
107,2022-11-04,electrician,75,0
108,2022-11-16,electrician,60,20
109,2022-11-17,electrician,105,0
110,2022-11-10,electrician,60,0
111,2022-11-14,electrician,105,30
112,2022-11-03,electrician,105,20
113,2022-11-07,electrician,75,30
114,2022-11-01,electrician,90,10
115,2022-11-06,electrician,120,0
116,2022-11-11,electrician,120,10
117,2022-11-06,electrician,120,30
118,2022-11-09,electrician,75,10
119,2022-11-11,electrician,60,10
120,2022-11-23,electrician,90,0
121,2022-11-27,electrician,120,10
122,2022-11-16,electrician,90,0
123,2022-11-25,electrician,75,30
124,2022-11-06,electrician,105,10
125,2022-11-30,electrician,60,20
126,2022-11-16,electrician,60,0
127,2022-11-12,electrician,75,10
128,2022-11-24,electrician,120,30
129,2022-11-01,electrician,120,0
130,2022-11-06,electrician,105,0
131,2022-11-23,electrician,75,0
132,2022-11-06,electrician,60,20
133,2022-11-12,electrician,105,20
134,2022-11-26,electrician,75,10
135,2022-11-30,electrician,75,0
136,2022-11-22,electrician,105,30
137,2022-11-02,electrician,105,30
138,2022-11-14,electrician,60,30
139,2022-11-15,electrician,60,20
140,2022-11-06,electrician,90,0
141,2022-11-21,electrician,75,0
142,2022-11-27,electrician,60,0
143,2022-11-15,electrician,75,10
144,2022-11-14,electrician,120,20
145,2022-11-27,electrician,75,10
146,2022-11-09,electrician,75,20
147,2022-11-15,electrician,60,0
148,2022-11-06,electrician,90,0
149,2022-11-23,electrician,90,10
150,2022-11-23,electrician,60,20
151,2022-11-13,electrician,90,10
152,2022-11-17,electrician,105,20
153,2022-11-23,electrician,75,10
154,2022-11-11,electrician,120,30
155,2022-11-09,electrician,60,30
156,2022-11-11,electrician,90,10
157,2022-11-10,electrician,90,30
158,2022-11-22,electrician,75,30
159,2022-11-12,electrician,60,30
160,2022-11-06,electrician,120,0
161,2022-11-19,electrician,60,0
162,2022-11-05,electrician,105,20
163,2022-11-28,electrician,60,10
164,2022-11-04,electrician,120,30
165,2022-11-19,electrician,90,30
166,2022-11-05,electrician,120,0
167,2022-11-23,electrician,105,20
168,2022-11-02,electrician,105,0
169,2022-11-05,electrician,120,10
170,2022-11-22,electrician,120,10
171,2022-11-02,electrician,90,20
172,2022-11-11,electrician,75,10
173,2022-11-09,electrician,60,20
174,2022-11-25,electrician,120,30
175,2022-11-27,electrician,75,0
176,2022-11-17,electrician,120,10
177,2022-11-20,electrician,60,10
178,2022-11-02,electrician,60,20
179,2022-11-28,electrician,75,10
180,2022-11-22,electrician,60,30
181,2022-11-25,electrician,60,20
182,2022-12-08,electrician,105,0
183,2022-12-02,electrician,60,0
184,2022-12-18,electrician,105,10
185,2022-12-19,electrician,120,20
186,2022-12-18,electrician,120,30
187,2022-12-15,electrician,60,10
188,2022-12-22,electrician,120,0
189,2022-12-23,electrician,120,0
190,2022-12-16,electrician,105,0
191,2022-12-09,electrician,60,10
192,2022-12-03,electrician,105,10
193,2022-12-14,electrician,75,0
194,2022-12-20,electrician,90,20
195,2022-12-11,electrician,60,10
196,2022-12-02,electrician,120,20
197,2022-12-04,electrician,75,30
198,2022-12-28,electrician,105,10
199,2022-12-29,electrician,60,30
200,2022-12-01,electrician,75,0
201,2022-12-21,electrician,75,0
202,2022-12-07,electrician,90,0
203,2022-12-21,electrician,105,30
204,2022-12-15,electrician,60,10
205,2022-12-13,electrician,75,30
206,2022-12-15,electrician,105,30
207,2022-12-24,electrician,60,20
208,2022-12-11,electrician,120,0
209,2022-12-31,electrician,120,20
210,2022-12-02,electrician,90,30
211,2022-12-30,electrician,105,0
212,2022-12-25,electrician,105,10
213,2022-12-16,electrician,90,10
214,2022-12-26,electrician,75,0
215,2022-12-08,electrician,75,10
216,2022-12-05,electrician,90,0
217,2022-12-29,electrician,120,10
218,2022-12-08,electrician,90,20
219,2022-12-10,electrician,75,10
220,2022-12-24,electrician,120,0
221,2022-12-29,electrician,120,20
222,2022-12-19,electrician,105,20
223,2022-12-15,electrician,105,10
224,2022-12-07,electrician,75,10
225,2022-12-02,electrician,75,30
226,2022-12-17,electrician,60,30
227,2022-12-26,electrician,105,30
228,2022-12-22,electrician,120,0
229,2022-12-02,electrician,105,0
230,2023-01-30,electrician,60,0
231,2023-01-18,electrician,105,30
232,2023-01-08,electrician,90,10
233,2023-01-19,electrician,105,30
234,2023-01-13,electrician,105,20
235,2023-01-08,electrician,90,20
236,2023-01-14,electrician,60,10
237,2023-01-04,electrician,120,10
238,2023-01-09,electrician,120,30
239,2023-01-29,electrician,120,20
240,2023-01-18,electrician,105,30
241,2023-01-21,electrician,120,0
242,2023-01-11,electrician,90,0
243,2023-01-27,electrician,120,20
244,2023-01-23,electrician,75,10
245,2023-01-29,electrician,60,10
246,2023-01-18,electrician,105,20
247,2023-01-31,electrician,105,10
248,2023-01-27,electrician,75,10
249,2023-01-21,electrician,90,20
250,2023-01-02,electrician,90,0
251,2023-01-19,electrician,105,0
252,2023-01-16,electrician,120,0
253,2023-01-01,electrician,60,30
254,2023-01-21,electrician,120,0
255,2023-01-09,electrician,90,30
256,2023-01-23,electrician,75,0
257,2023-01-25,electrician,75,20
258,2023-01-10,electrician,90,0
259,2023-02-26,electrician,120,10
260,2023-02-06,electrician,90,20
261,2023-02-06,electrician,120,10
262,2023-02-01,electrician,60,10
263,2023-02-10,electrician,75,0
264,2023-02-15,electrician,75,10
265,2023-02-22,electrician,90,20
266,2023-02-17,electrician,60,0
267,2023-02-05,electrician,90,30
268,2023-02-11,electrician,105,30
269,2023-02-15,electrician,120,10
270,2023-02-24,electrician,90,10
271,2023-02-08,electrician,60,20
272,2023-02-11,electrician,120,10
273,2023-02-27,electrician,75,30
274,2023-02-01,electrician,120,20
275,2023-02-28,electrician,75,20
276,2023-02-27,electrician,105,0
277,2023-02-25,electrician,60,20
278,2023-02-13,electrician,60,10
279,2023-02-16,electrician,75,0
280,2023-02-28,electrician,90,20
281,2023-02-20,electrician,105,20
282,2023-02-15,electrician,60,0
283,2023-02-22,electrician,75,20
284,2023-02-15,electrician,75,10
285,2023-02-27,electrician,120,30
286,2023-02-23,electrician,75,30
287,2023-02-16,electrician,90,30
288,2023-02-02,electrician,105,20
289,2023-02-10,electrician,105,0
290,2023-02-08,electrician,75,10
291,2023-02-05,electrician,90,10
292,2023-02-15,electrician,75,10
293,2023-02-02,electrician,105,0
294,2023-02-19,electrician,120,30
295,2023-02-11,electrician,90,20
296,2023-02-11,electrician,75,10
297,2023-02-06,electrician,75,20
298,2023-02-11,electrician,90,30
299,2023-02-08,electrician,75,30
300,2023-02-22,electrician,60,0
301,2023-02-22,electrician,90,20
302,2023-02-19,electrician,105,30
303,2023-02-10,electrician,120,30
304,2023-02-15,electrician,105,0
305,2023-02-10,electrician,60,30
306,2023-02-13,electrician,90,0
307,2023-02-14,electrician,105,0
308,2023-02-19,electrician,90,0
309,2023-02-01,electrician,90,20
310,2023-02-13,electrician,120,10
311,2023-02-15,electrician,90,30
312,2023-02-07,electrician,90,10
313,2023-02-14,electrician,90,0
314,2023-02-10,electrician,60,0
315,2023-02-20,electrician,120,10
316,2023-02-18,electrician,105,10
317,2023-02-05,electrician,105,30
318,2023-03-31,electrician,60,0
319,2023-03-24,electrician,60,10
320,2023-03-19,electrician,75,0
321,2023-03-11,electrician,75,30
322,2023-03-09,electrician,75,0
323,2023-03-16,electrician,60,10
324,2023-03-05,electrician,60,20
325,2023-03-03,electrician,60,30
326,2023-03-19,electrician,75,10
327,2023-03-17,electrician,60,0
328,2023-03-11,electrician,120,30
329,2023-03-20,electrician,90,30
330,2023-03-16,electrician,105,0
331,2023-03-13,electrician,120,10
332,2023-03-19,electrician,60,30
333,2023-03-14,electrician,75,10
334,2023-03-15,electrician,120,30
335,2023-03-25,electrician,60,0
336,2023-03-06,electrician,90,20
337,2023-03-15,electrician,105,20
338,2023-03-27,electrician,60,0
339,2023-03-21,electrician,75,0
340,2023-03-24,electrician,75,20
341,2023-03-31,electrician,75,30
342,2023-03-15,electrician,60,20
343,2023-03-25,electrician,60,30
344,2023-03-18,electrician,60,0
345,2023-03-22,electrician,75,10
346,2023-03-13,electrician,90,0
347,2023-03-01,electrician,105,10
348,2023-03-21,electrician,120,30
349,2023-03-16,electrician,75,10
350,2023-03-18,electrician,105,20
351,2023-03-05,electrician,90,20
352,2023-03-25,electrician,105,30
353,2023-03-27,electrician,105,10
354,2023-03-10,electrician,75,30
355,2023-03-27,electrician,60,20
356,2023-03-30,electrician,120,0
357,2023-03-09,electrician,120,30
358,2023-03-18,electrician,120,0
359,2023-03-19,electrician,120,10
360,2023-03-28,electrician,90,0
361,2023-03-08,electrician,75,20
362,2023-03-20,electrician,75,10
363,2023-04-29,electrician,120,30
364,2023-04-05,electrician,120,10
365,2023-04-04,electrician,60,20
366,2023-04-19,electrician,105,30
367,2023-04-12,electrician,75,10
368,2023-04-27,electrician,75,30
369,2023-04-30,electrician,120,30
370,2023-04-06,electrician,90,20
371,2023-04-04,electrician,90,0
372,2023-04-01,electrician,90,0
373,2023-04-12,electrician,60,0
374,2023-04-29,electrician,90,0
375,2023-04-05,electrician,120,20
376,2023-04-13,electrician,120,10
377,2023-04-18,electrician,105,10
378,2023-04-04,electrician,120,0
379,2023-04-19,electrician,105,0
380,2023-04-27,electrician,60,10
381,2023-04-30,electrician,90,10
382,2023-04-29,electrician,90,10
383,2023-04-12,electrician,120,30
384,2023-04-13,electrician,60,20
385,2023-04-08,electrician,120,0
386,2023-04-14,electrician,120,10
387,2023-04-09,electrician,60,20
388,2023-04-02,electrician,120,10
389,2023-04-18,electrician,90,30
390,2023-04-03,electrician,75,10
391,2023-04-20,electrician,120,10
392,2023-04-24,electrician,75,20
393,2023-04-21,electrician,105,10
394,2023-04-15,electrician,75,30
395,2023-04-25,electrician,75,30
396,2023-04-27,electrician,90,20
397,2023-04-10,electrician,105,30
398,2023-04-09,electrician,120,10
399,2023-04-01,electrician,60,0
400,2023-04-24,electrician,60,30
401,2023-04-12,electrician,75,30
402,2023-04-01,electrician,60,0
403,2023-04-10,electrician,105,0
404,2023-04-14,electrician,105,0
405,2023-04-09,electrician,120,20
406,2023-04-19,electrician,90,20
407,2023-04-08,electrician,90,10
408,2023-04-08,electrician,105,30
409,2023-04-24,electrician,75,30
410,2023-04-23,electrician,120,30
411,2023-04-30,electrician,120,0
412,2023-04-07,electrician,90,20
413,2023-04-29,electrician,120,30
414,2023-04-19,electrician,120,0
415,2023-04-07,electrician,105,10
416,2023-04-18,electrician,105,30
417,2023-04-07,electrician,75,30
418,2023-04-09,electrician,75,20
419,2023-04-22,electrician,105,10
420,2023-04-10,electrician,120,10
421,2023-04-02,electrician,60,0
422,2023-04-11,electrician,60,20
423,2023-04-01,electrician,90,0
424,2023-04-25,electrician,60,10
425,2023-04-18,electrician,75,10
426,2023-04-01,electrician,120,10
427,2023-04-18,electrician,90,20
428,2023-04-25,electrician,120,0
429,2023-04-18,electrician,90,20
430,2023-04-29,electrician,60,10
431,2023-04-14,electrician,75,30
432,2023-04-15,electrician,90,10
433,2023-04-11,electrician,90,30
